subject,group,story_id,word_number
1,Visual,1,71
1,Visual,1,138
1,Visual,1,290
1,Visual,1,340
1,Visual,1,478
1,Visual,1,577
1,Visual,1,710
1,Visual,1,913
1,Visual,1,1049
1,Visual,1,1257
1,Visual,1,1462
1,Visual,2,102
1,Visual,2,222
1,Visual,2,343
1,Visual,2,481
1,Visual,2,546
1,Visual,2,938
1,Visual,2,962
1,Visual,2,1127
1,Visual,2,1237
1,Visual,2,1338
1,Visual,3,97
1,Visual,3,333
1,Visual,3,469
1,Visual,3,522
1,Visual,3,598
1,Visual,3,622
1,Visual,3,945
1,Visual,3,1147
1,Visual,3,1307
1,Visual,3,1501
2,Visual,1,51
2,Visual,1,71
2,Visual,1,115
2,Visual,1,138
2,Visual,1,175
2,Visual,1,203
2,Visual,1,252
2,Visual,1,273
2,Visual,1,313
2,Visual,1,360
2,Visual,1,384
2,Visual,1,448
2,Visual,1,453
2,Visual,1,499
2,Visual,1,577
2,Visual,1,640
2,Visual,1,710
2,Visual,1,734
2,Visual,1,828
2,Visual,1,972
2,Visual,1,1029
2,Visual,1,1091
2,Visual,1,1178
2,Visual,1,1257
2,Visual,1,1282
2,Visual,1,1355
2,Visual,1,1462
2,Visual,2,32
2,Visual,2,49
2,Visual,2,91
2,Visual,2,180
2,Visual,2,222
2,Visual,2,353
2,Visual,2,376
2,Visual,2,481
2,Visual,2,505
2,Visual,2,603
2,Visual,2,663
2,Visual,2,706
2,Visual,2,809
2,Visual,2,884
2,Visual,2,962
2,Visual,2,1115
2,Visual,2,1237
2,Visual,2,1293
2,Visual,2,1351
2,Visual,3,11
2,Visual,3,21
2,Visual,3,26
2,Visual,3,63
2,Visual,3,97
2,Visual,3,122
2,Visual,3,141
2,Visual,3,167
2,Visual,3,178
2,Visual,3,190
2,Visual,3,199
2,Visual,3,216
2,Visual,3,232
2,Visual,3,265
2,Visual,3,275
2,Visual,3,297
2,Visual,3,333
2,Visual,3,350
2,Visual,3,367
2,Visual,3,390
2,Visual,3,402
2,Visual,3,439
2,Visual,3,469
2,Visual,3,488
2,Visual,3,499
2,Visual,3,522
2,Visual,3,581
2,Visual,3,598
2,Visual,3,622
2,Visual,3,685
2,Visual,3,736
2,Visual,3,773
2,Visual,3,835
2,Visual,3,873
2,Visual,3,945
2,Visual,3,1088
2,Visual,3,1122
2,Visual,3,1147
2,Visual,3,1186
2,Visual,3,1263
2,Visual,3,1310
2,Visual,3,1406
2,Visual,3,1501
2,Visual,3,1671
2,Visual,3,1701
3,Visual,1,71
3,Visual,1,115
3,Visual,1,175
3,Visual,1,290
3,Visual,1,499
3,Visual,1,577
3,Visual,1,710
3,Visual,1,849
3,Visual,1,972
3,Visual,1,1178
3,Visual,1,1257
3,Visual,2,115
3,Visual,2,180
3,Visual,2,222
3,Visual,2,376
3,Visual,2,481
3,Visual,2,546
3,Visual,2,663
3,Visual,2,773
3,Visual,2,884
3,Visual,2,938
3,Visual,2,962
3,Visual,2,1127
3,Visual,2,1237
3,Visual,2,1293
3,Visual,2,1449
3,Visual,3,122
3,Visual,3,232
3,Visual,3,333
3,Visual,3,439
3,Visual,3,499
3,Visual,3,598
3,Visual,3,622
3,Visual,3,873
3,Visual,3,945
3,Visual,3,1147
3,Visual,3,1307
3,Visual,3,1501
4,Visual,1,71
4,Visual,1,175
4,Visual,1,290
4,Visual,1,499
4,Visual,1,577
4,Visual,1,710
4,Visual,1,913
4,Visual,1,1017
4,Visual,1,1257
4,Visual,1,1582
4,Visual,2,115
4,Visual,2,180
4,Visual,2,222
4,Visual,2,353
4,Visual,2,481
4,Visual,2,625
4,Visual,2,794
4,Visual,2,938
4,Visual,2,1077
4,Visual,2,1237
4,Visual,2,1351
4,Visual,3,122
4,Visual,3,333
4,Visual,3,499
4,Visual,3,622
4,Visual,3,835
4,Visual,3,1147
4,Visual,3,1307
4,Visual,3,1501
5,Visual,1,89
5,Visual,1,138
5,Visual,1,175
5,Visual,1,215
5,Visual,1,273
5,Visual,1,290
5,Visual,1,313
5,Visual,1,340
5,Visual,1,360
5,Visual,1,394
5,Visual,1,453
5,Visual,1,491
5,Visual,1,577
5,Visual,1,640
5,Visual,1,710
5,Visual,1,760
5,Visual,1,797
5,Visual,1,828
5,Visual,1,895
5,Visual,1,988
5,Visual,1,1063
5,Visual,1,1200
5,Visual,1,1275
5,Visual,1,1310
5,Visual,1,1361
5,Visual,1,1462
5,Visual,1,1505
5,Visual,1,1613
5,Visual,2,18
5,Visual,2,49
5,Visual,2,91
5,Visual,2,102
5,Visual,2,180
5,Visual,2,197
5,Visual,2,240
5,Visual,2,277
5,Visual,2,353
5,Visual,2,426
5,Visual,2,481
5,Visual,2,505
5,Visual,2,546
5,Visual,2,603
5,Visual,2,663
5,Visual,2,706
5,Visual,2,809
5,Visual,2,884
5,Visual,2,905
5,Visual,2,938
5,Visual,2,1021
5,Visual,2,1115
5,Visual,2,1237
5,Visual,2,1268
5,Visual,2,1293
5,Visual,2,1351
5,Visual,2,1398
5,Visual,2,1484
5,Visual,3,63
5,Visual,3,97
5,Visual,3,122
5,Visual,3,167
5,Visual,3,232
5,Visual,3,297
5,Visual,3,333
5,Visual,3,367
5,Visual,3,418
5,Visual,3,488
5,Visual,3,499
5,Visual,3,522
5,Visual,3,581
5,Visual,3,603
5,Visual,3,622
5,Visual,3,685
5,Visual,3,773
5,Visual,3,788
5,Visual,3,884
5,Visual,3,945
5,Visual,3,1088
5,Visual,3,1147
5,Visual,3,1208
5,Visual,3,1263
5,Visual,3,1310
5,Visual,3,1406
5,Visual,3,1437
5,Visual,3,1473
5,Visual,3,1501
5,Visual,3,1513
5,Visual,3,1671
6,Visual,1,71
6,Visual,1,148
6,Visual,1,215
6,Visual,1,290
6,Visual,1,360
6,Visual,1,478
6,Visual,1,640
6,Visual,1,868
6,Visual,1,1029
6,Visual,1,1178
6,Visual,1,1257
6,Visual,1,1361
6,Visual,2,32
6,Visual,2,102
6,Visual,2,180
6,Visual,2,222
6,Visual,2,349
6,Visual,2,376
6,Visual,2,481
6,Visual,2,603
6,Visual,2,726
6,Visual,2,773
6,Visual,2,809
6,Visual,2,884
6,Visual,2,938
6,Visual,2,1127
6,Visual,2,1237
6,Visual,2,1372
6,Visual,2,1449
6,Visual,3,77
6,Visual,3,122
6,Visual,3,167
6,Visual,3,297
6,Visual,3,333
6,Visual,3,418
6,Visual,3,469
6,Visual,3,499
6,Visual,3,522
6,Visual,3,598
6,Visual,3,622
6,Visual,3,788
6,Visual,3,873
6,Visual,3,949
6,Visual,3,1088
6,Visual,3,1147
6,Visual,3,1202
6,Visual,3,1263
6,Visual,3,1307
6,Visual,3,1437
6,Visual,3,1501
6,Visual,3,1658
7,Visual,1,22
7,Visual,1,59
7,Visual,1,148
7,Visual,1,187
7,Visual,1,279
7,Visual,1,340
7,Visual,1,431
7,Visual,1,491
7,Visual,1,519
7,Visual,1,592
7,Visual,1,604
7,Visual,1,640
7,Visual,1,668
7,Visual,1,755
7,Visual,1,797
7,Visual,1,819
7,Visual,1,936
7,Visual,1,956
7,Visual,1,1049
7,Visual,1,1117
7,Visual,1,1191
7,Visual,1,1334
7,Visual,1,1437
7,Visual,1,1462
7,Visual,1,1505
7,Visual,1,1623
7,Visual,2,32
7,Visual,2,115
7,Visual,2,147
7,Visual,2,197
7,Visual,2,240
7,Visual,2,260
7,Visual,2,277
7,Visual,2,317
7,Visual,2,433
7,Visual,2,493
7,Visual,2,505
7,Visual,2,536
7,Visual,2,592
7,Visual,2,603
7,Visual,2,673
7,Visual,2,687
7,Visual,2,706
7,Visual,2,809
7,Visual,2,905
7,Visual,2,931
7,Visual,2,962
7,Visual,2,1006
7,Visual,2,1237
7,Visual,2,1338
7,Visual,2,1351
7,Visual,2,1398
7,Visual,2,1449
7,Visual,2,1498
7,Visual,3,26
7,Visual,3,122
7,Visual,3,141
7,Visual,3,167
7,Visual,3,297
7,Visual,3,333
7,Visual,3,374
7,Visual,3,395
7,Visual,3,462
7,Visual,3,475
7,Visual,3,499
7,Visual,3,522
7,Visual,3,603
7,Visual,3,685
7,Visual,3,835
7,Visual,3,858
7,Visual,3,887
7,Visual,3,919
7,Visual,3,945
7,Visual,3,1043
7,Visual,3,1088
7,Visual,3,1173
7,Visual,3,1230
7,Visual,3,1263
7,Visual,3,1416
7,Visual,3,1501
7,Visual,3,1513
7,Visual,3,1701
7,Visual,3,1720
8,Visual,1,89
8,Visual,1,148
8,Visual,1,307
8,Visual,1,340
8,Visual,1,478
8,Visual,1,710
8,Visual,1,913
8,Visual,1,1040
8,Visual,1,1298
8,Visual,1,1361
8,Visual,2,102
8,Visual,2,222
8,Visual,2,309
8,Visual,2,493
8,Visual,2,625
8,Visual,2,726
8,Visual,2,938
8,Visual,2,1237
8,Visual,3,141
8,Visual,3,239
8,Visual,3,313
8,Visual,3,333
8,Visual,3,499
8,Visual,3,522
8,Visual,3,603
8,Visual,3,622
8,Visual,3,884
8,Visual,3,945
8,Visual,3,1147
8,Visual,3,1501
9,Visual,1,71
9,Visual,1,138
9,Visual,1,252
9,Visual,1,307
9,Visual,1,360
9,Visual,1,448
9,Visual,1,491
9,Visual,1,526
9,Visual,1,640
9,Visual,1,710
9,Visual,1,828
9,Visual,1,895
9,Visual,1,1029
9,Visual,1,1122
9,Visual,1,1225
9,Visual,1,1275
9,Visual,1,1282
9,Visual,1,1437
9,Visual,1,1567
9,Visual,2,32
9,Visual,2,91
9,Visual,2,222
9,Visual,2,343
9,Visual,2,402
9,Visual,2,603
9,Visual,2,706
9,Visual,2,818
9,Visual,2,873
9,Visual,2,962
9,Visual,2,1070
9,Visual,2,1127
9,Visual,2,1268
9,Visual,2,1484
9,Visual,3,77
9,Visual,3,122
9,Visual,3,167
9,Visual,3,275
9,Visual,3,402
9,Visual,3,488
9,Visual,3,522
9,Visual,3,622
9,Visual,3,682
9,Visual,3,736
9,Visual,3,802
9,Visual,3,873
9,Visual,3,945
9,Visual,3,1043
9,Visual,3,1110
9,Visual,3,1160
9,Visual,3,1242
9,Visual,3,1333
9,Visual,3,1406
9,Visual,3,1464
9,Visual,3,1523
9,Visual,3,1613
9,Visual,3,1671
10,Visual,1,307
10,Visual,1,453
10,Visual,1,858
10,Visual,1,1048
10,Visual,2,277
10,Visual,2,536
10,Visual,2,583
10,Visual,2,938
10,Visual,3,402
10,Visual,3,663
10,Visual,3,884
10,Visual,3,1307
10,Visual,3,1501
11,Visual,1,71
11,Visual,1,148
11,Visual,1,290
11,Visual,1,577
11,Visual,1,710
11,Visual,1,913
11,Visual,1,1091
11,Visual,1,1462
11,Visual,2,102
11,Visual,2,180
11,Visual,2,222
11,Visual,2,353
11,Visual,2,481
11,Visual,2,706
11,Visual,2,809
11,Visual,2,884
11,Visual,2,1077
11,Visual,2,1351
11,Visual,3,122
11,Visual,3,250
11,Visual,3,333
11,Visual,3,418
11,Visual,3,522
11,Visual,3,598
11,Visual,3,622
11,Visual,3,945
11,Visual,3,1122
11,Visual,3,1416
12,Visual,1,51
12,Visual,1,71
12,Visual,1,138
12,Visual,1,252
12,Visual,1,313
12,Visual,1,491
12,Visual,1,564
12,Visual,1,646
12,Visual,1,805
12,Visual,1,1003
12,Visual,1,1225
12,Visual,1,1361
12,Visual,1,1487
12,Visual,1,1505
12,Visual,1,1582
12,Visual,2,18
12,Visual,2,120
12,Visual,2,197
12,Visual,2,222
12,Visual,2,353
12,Visual,2,493
12,Visual,2,706
12,Visual,2,938
12,Visual,2,962
12,Visual,2,1127
12,Visual,2,1237
12,Visual,2,1484
12,Visual,3,21
12,Visual,3,26
12,Visual,3,122
12,Visual,3,167
12,Visual,3,275
12,Visual,3,333
12,Visual,3,488
12,Visual,3,499
12,Visual,3,603
12,Visual,3,622
12,Visual,3,773
12,Visual,3,884
12,Visual,3,945
12,Visual,3,1088
12,Visual,3,1147
12,Visual,3,1310
12,Visual,3,1416
12,Visual,3,1501
12,Visual,3,1523
12,Visual,3,1671
13,Visual,1,84
13,Visual,1,148
13,Visual,1,290
13,Visual,1,307
13,Visual,1,324
13,Visual,1,340
13,Visual,1,499
13,Visual,1,526
13,Visual,1,577
13,Visual,1,640
13,Visual,1,734
13,Visual,1,760
13,Visual,1,875
13,Visual,1,1017
13,Visual,1,1052
13,Visual,1,1178
13,Visual,1,1257
13,Visual,1,1462
13,Visual,1,1497
13,Visual,1,1613
13,Visual,2,32
13,Visual,2,102
13,Visual,2,228
13,Visual,2,376
13,Visual,2,481
13,Visual,2,663
13,Visual,2,884
13,Visual,2,962
13,Visual,2,1021
13,Visual,2,1115
13,Visual,2,1237
13,Visual,2,1268
13,Visual,3,26
13,Visual,3,173
13,Visual,3,250
13,Visual,3,313
13,Visual,3,522
13,Visual,3,585
13,Visual,3,622
13,Visual,3,685
13,Visual,3,773
13,Visual,3,835
13,Visual,3,873
13,Visual,3,945
13,Visual,3,1122
13,Visual,3,1173
13,Visual,3,1310
13,Visual,3,1517
13,Visual,3,1662
14,Visual,1,71
14,Visual,1,138
14,Visual,1,252
14,Visual,1,290
14,Visual,1,360
14,Visual,1,491
14,Visual,1,577
14,Visual,1,656
14,Visual,1,710
14,Visual,1,828
14,Visual,1,1003
14,Visual,1,1091
14,Visual,1,1122
14,Visual,1,1257
14,Visual,1,1437
14,Visual,1,1582
14,Visual,2,115
14,Visual,2,222
14,Visual,2,376
14,Visual,2,481
14,Visual,2,603
14,Visual,2,706
14,Visual,2,884
14,Visual,2,962
14,Visual,2,1115
14,Visual,2,1237
14,Visual,2,1293
14,Visual,3,122
14,Visual,3,265
14,Visual,3,333
14,Visual,3,418
14,Visual,3,522
14,Visual,3,598
14,Visual,3,835
14,Visual,3,954
14,Visual,3,1043
14,Visual,3,1310
14,Visual,3,1406
14,Visual,3,1688
15,Visual,1,71
15,Visual,1,148
15,Visual,1,175
15,Visual,1,290
15,Visual,1,478
15,Visual,1,710
15,Visual,1,858
15,Visual,1,1298
15,Visual,1,1462
15,Visual,2,102
15,Visual,2,222
15,Visual,2,376
15,Visual,2,493
15,Visual,2,663
15,Visual,2,884
15,Visual,2,962
15,Visual,2,1127
15,Visual,2,1237
15,Visual,3,122
15,Visual,3,333
15,Visual,3,522
15,Visual,3,622
15,Visual,3,788
15,Visual,3,873
15,Visual,3,1147
15,Visual,3,1310
15,Visual,3,1501
16,Visual,1,51
16,Visual,1,71
16,Visual,1,115
16,Visual,1,148
16,Visual,1,203
16,Visual,1,273
16,Visual,1,290
16,Visual,1,313
16,Visual,1,340
16,Visual,1,478
16,Visual,1,526
16,Visual,1,577
16,Visual,1,656
16,Visual,1,710
16,Visual,1,828
16,Visual,1,849
16,Visual,1,1063
16,Visual,1,1178
16,Visual,1,1257
16,Visual,1,1298
16,Visual,1,1355
16,Visual,1,1505
16,Visual,2,115
16,Visual,2,180
16,Visual,2,222
16,Visual,2,353
16,Visual,2,481
16,Visual,2,493
16,Visual,2,583
16,Visual,2,663
16,Visual,2,706
16,Visual,2,726
16,Visual,2,773
16,Visual,2,818
16,Visual,2,938
16,Visual,2,962
16,Visual,2,1021
16,Visual,2,1127
16,Visual,2,1206
16,Visual,2,1237
16,Visual,2,1293
16,Visual,2,1338
16,Visual,2,1372
16,Visual,2,1449
16,Visual,3,77
16,Visual,3,122
16,Visual,3,141
16,Visual,3,232
16,Visual,3,333
16,Visual,3,367
16,Visual,3,418
16,Visual,3,488
16,Visual,3,499
16,Visual,3,598
16,Visual,3,622
16,Visual,3,788
16,Visual,3,963
16,Visual,3,1122
16,Visual,3,1263
16,Visual,3,1310
16,Visual,3,1384
16,Visual,3,1501
17,Visual,1,71
17,Visual,1,138
17,Visual,1,273
17,Visual,1,307
17,Visual,1,491
17,Visual,1,526
17,Visual,1,710
17,Visual,1,760
17,Visual,1,828
17,Visual,1,1003
17,Visual,1,1191
17,Visual,1,1282
17,Visual,1,1456
17,Visual,1,1613
17,Visual,2,115
17,Visual,2,222
17,Visual,2,353
17,Visual,2,481
17,Visual,2,583
17,Visual,2,809
17,Visual,2,884
17,Visual,2,1127
17,Visual,2,1293
17,Visual,3,122
17,Visual,3,313
17,Visual,3,499
17,Visual,3,585
17,Visual,3,622
17,Visual,3,844
17,Visual,3,937
17,Visual,3,1088
17,Visual,3,1122
17,Visual,3,1310
17,Visual,3,1406
17,Visual,3,1501
18,Visual,1,71
18,Visual,1,138
18,Visual,1,290
18,Visual,1,360
18,Visual,1,519
18,Visual,1,710
18,Visual,1,858
18,Visual,1,1003
18,Visual,1,1178
18,Visual,1,1282
18,Visual,1,1462
18,Visual,2,32
18,Visual,2,102
18,Visual,2,180
18,Visual,2,222
18,Visual,2,376
18,Visual,2,481
18,Visual,2,603
18,Visual,2,706
18,Visual,2,809
18,Visual,2,884
18,Visual,2,938
18,Visual,2,1127
18,Visual,2,1268
18,Visual,2,1351
18,Visual,2,1449
18,Visual,3,122
18,Visual,3,333
18,Visual,3,499
18,Visual,3,788
18,Visual,3,1147
18,Visual,3,1310
18,Visual,3,1416
18,Visual,3,1501
19,Visual,1,71
19,Visual,1,148
19,Visual,1,203
19,Visual,1,273
19,Visual,1,499
19,Visual,1,913
19,Visual,1,1298
19,Visual,2,102
19,Visual,2,222
19,Visual,2,361
19,Visual,2,493
19,Visual,2,809
19,Visual,2,938
19,Visual,2,1237
19,Visual,3,122
19,Visual,3,333
19,Visual,3,499
19,Visual,3,622
19,Visual,3,1310
19,Visual,3,1501
20,Visual,1,307
20,Visual,1,577
20,Visual,1,913
20,Visual,1,1275
20,Visual,2,102
20,Visual,2,222
20,Visual,2,493
20,Visual,2,962
20,Visual,2,1237
20,Visual,3,97
20,Visual,3,250
20,Visual,3,333
20,Visual,3,522
20,Visual,3,598
20,Visual,3,945
20,Visual,3,1122
20,Visual,3,1263
20,Visual,3,1501
